Externe Nr;Kurzname;X-Koordinate;Y-Koordinate;Z-Koordinate;Langname;Übersetzung
63479;DNBO;13,441284080;50,901181990;;Niederbobritzsch;
62273;DNDR;13,560262520;51,175419300;;Niederau;
60350;DNDS;13,810902570;50,889917120;;Niederschlottw;
60640;DNE;14,213222750;51,021317540;;Neustadt (Sachs);
12070;ABUS;9,857719342;53,268873880;;Büsenbachtal;
16964;ABUW;11,180905800;54,450296780;;Burg(F)West;
11700;ABVS;10,574177390;53,078233360;;Bad Bevensen;
11882;ABX;9,688333832;53,470479910;;Buxtehude;
12005;ACD;9,058400130;53,767994690;;Cadenberge;
12054;ACV;8,704726180;53,862531260;;Cuxhaven;
908660;ACV F;;;;Cuxhaven CF;
911732;ACV G;;;;Cuxhaven Gbf;
911084;ACV M;;;;Cux Amerika Bf;
107378;ACVG;8,731535320;53,847962530;;Cuxhaven DB-Gr;
11569;ADA;10,610031970;53,427605000;;Dalldorf;
11460;ADB;11,118314760;53,105012920;;Dannenberg Ost;
11726;ADEV;10,434449950;53,199799960;;Deutsch Evern;
12914;ADH;9,680776099;53,852602250;;Dauenhof;
11502;ADL;10,708791730;53,169325580;;Dahlenburg;
15933;ADO;8,575761049;53,688638840;;Dorum;
11916;ADR;9,557993872;53,545509840;;Dollern;
908654;AE  F;9,900548458;53,598999490;;Hmb-Eidelst Ef;
908655;AE  N;9,891064167;53,602590238;;Hmb-Eidelst En;
908656;AE  O;9,897243977;53,600196440;;Hmb-Eidelst Eo;
14985;AWIR;9,383108534;53,926283060;;Wilster;
154328;KSEV;6,592246120;50,559687440;;Scheven;
611103;KSGR;7,079166124;51,163822630;;Sg Grünewald;
155887;KSIB;7,202634650;50,794168370;;Siegburg/Bonn;
220343;NGD;11,301086940;50,280578910;;Gundelsdorf;
223982;NGE;11,016798580;49,184023770;;Georgensgmünd;
262535;NGET;12,681486530;49,323400410;;Geigant;
342410;NGF;12,979460890;48,901634350;;Grafling;
719864;TRG;8,650794172;48,159591630;;Rottw-Göllsdorf;
294256;TRH;8,782696782;48,039161020;;Rietheim (Württ);
81828;KSO;7,004466643;51,160779580;;Solingen Hbf;
153205;KSOM;6,752533180;51,017967960;;Stommeln;
155911;KMES;7,385615633;50,770482600;;Merten (Sieg);
667360;KMEU;6,511861620;50,835861560;;Merzenich Üst;
80861;KMEW;;;;Mettmann Zentrum;
645275;KMEZ;6,517786059;50,839890920;;Merzenich;
152199;KMGE;6,328717961;51,148084770;;MG-Genhausen;
250811;KMIE;7,407636258;50,404087460;;Miesenheim;
150979;KMIL;6,556832564;51,559946230;;Millingen;
910638;KMILG;;;;Millingen Gbf;
152173;KML;6,472034216;51,199669260;;MG-Lürrip;
151035;KMO;6,641623246;51,450857360;;Moers;
909105;KMO G;;;;Moers Gbf;
152181;KMR;6,357851074;51,150697410;;MG-Rheindahlen;
154492;KMUE;6,764407029;50,558950460;;Bad Münstereifel;
157107;KMUH;6,674759470;51,381681100;;Mühlenberg;
250746;KMYO;7,238877679;50,329672980;;Mayen Ost;
250738;KMYW;7,213853980;50,328315300;;Mayen West;
150771;KMZ;6,515666647;51,603402520;;Menzelen West;
911483;KN  D;;;;Neuss W 31;
909624;KN  O;;;;Neuss Ostseite;
910187;KN  W;;;;Neuss Westseite;
155382;KNAK;6,697613480;51,220278890;;Neuss Am Kaiser;
174805;KNAL;6,756446368;51,142675100;;Neuss Allerheil;
190108;KNAM;7,361816294;50,457074950;;Namedy Südbstg;
107761;KNAMN;;;;Namedy Nordbstg;
155812;KND;7,180883051;50,695093260;;Niederdollendorf;
194902;KNE;7,474153547;50,431114470;;Neuwied;
913399;KNE G;;;;Neuwied Gbf;
80895;KNEA;;;;Neanderthal;
250308;KNEB;7,144320432;50,547609690;;Bad Neuenahr;
154369;KNEH;6,630328051;50,492278450;;Nettersheim;
894592;KNEM;6,681209655;50,6881545;;Nemmenich;
154930;KNEW;7,196047724;50,653538850;;Neuer Weg;
909621;KNG;6,685319008;51,206311740;;Neuss Gbf;
150276;KNIK;6,375569964;51,458069110;;Nieukerk;
78667;KNIS;6,078487260;50,898199730;;Nievelstein;
153072;KNIV;6,782200264;51,123657560;;Nievenheim;
195016;KNL;7,599603771;50,316432930;;Niederlahnstein;
913400;KNL N;;;;Niederlahnst N;
250787;KNME;7,290648416;50,369708620;;Mendig;
153064;KNO;6,730384978;51,161175360;;Norf;
911564;KNOKA;;;;Nordkanal Bksig;
911565;KNOKB;;;;Nordkanal W 1;
910108;KNOKC;;;;Nordkanal W 7;
155390;KNRC;6,717343942;51,206129640;;Ne Rheinparkcent;
155408;KNSD;6,690280580;51,185782540;;Neuss Süd;
152132;KOB;;;;Heinsberg-Oberbr;
154526;KODE;6,880918751;50,650921330;;Swist-Odendorf;
78659;KODR;6,904687600;50,641353460;;Rheinb-Oberdrees;
195305;KOE;7,659524896;50,719877620;;Obererbach;
195040;KOL;7,603903216;50,299975120;;Oberlahnstein;
909124;KOL G;;;;Oberlahnst Gbf;
108200;KOPLM;;;;Opladen Mitte;
83964;KOSB;7,490570250;50,991395720;;Osberghausen;
195065;KOSS;7,614983497;50,245077490;;Osterspai;
84020;KOV;7,288854436;50,932633410;;Overath;
190033;KOWI;7,207763684;50,611359300;;Oberwinter;
157032;KPFD;7,601053770;50,342446640;;Ko-Pfaffendorf;
152892;KPFF;6,606996417;50,961700710;;Paffendorf;
84913;KPH;7,075593971;50,916609510;;Porz-Heumar;
190322;KHIR;7,647759102;50,175492650;;Bp-Hirzenach;
81240;KHIS;6,937528053;51,163686910;;Hilden Süd;
80846;KHO;6,945057808;51,218675150;;Hochdahl;
84889;KHOF;7,196575335;50,911284910;;Hoffnungsthal;
196238;KHOG;7,642223770;50,764886810;;Hohegrete;
152397;KHOK;6,466378463;51,103305550;;Hochneukirch;
82701;KHOL;6,948297850;51,219679210;;Hochdahl    Abzw;
80994;KHOM;6,966613828;51,216469050;;Hochdahl-Millr;
84038;KHOR;7,254289048;50,910571760;;Honrath;
155788;KHOS;7,023436190;50,974201300;;Höhenhaus;
